# id	left	top	right	bottom	texture_id
[SPRITES]
4030001	77	30	84	37	40
4030002	85	30	94	37	40
4030003	96	30	105	37	40
4030004	106	30	115	37	40
4030005	116	30	125	37	40
4030006	126	30	135	37	40
4030007	136	30	145	37	40
4030008	146	30	155	37	40
4030009	156	30	165	37	40
4030010	166	30	175	37	40
4030011	16	160	31	167	40
4030012	64	161	71	168	40
4030013	72	161	87	168	40
4030014	91	161	98	168	40
4030015	99	161	114	168	40
4030065	177	31	184	38	40
4030066	187	31	194	38	40
4030067	77	41	84	48	40
4030068	87	41	94	48	40
4030069	97	41	104	48	40
4030070	107	41	114	48	40
4030071	117	41	124	48	40
4030072	127	41	134	48	40
4030073	136	41	143	48	40
4030074	147	41	154	48	40
4030075	157	41	164	48	40
4030076	167	41	174	48	40
4030077	177	41	184	48	40
4030078	187	41	194	48	40
4030079	77	51	84	58	40
4030080	87	51	94	58	40
4030081	97	51	104	58	40
4030082	107	51	114	58	40
4030083	117	51	124	58	40
4030084	127	51	134	58	40
4030085	137	51	144	58	40
4030086	147	51	154	58	40
4030087	157	51	164	58	40
4030088	167	51	174	58	40
4030089	177	51	184	58	40
4030090	187	51	194	58	40

